;Max;Fre
0;0.10951036418321765;7.086999022482893
1;0.8528428020241132;8.308895405669599
2;0.0473325117658704;7.086999022482893
3;0.6581477803915986;7.331378299120235
4;0.56974152471027;8.308895405669599
5;0.2122848589790642;8.308895405669599
;Max;Fre
0;0.10951036418321765;7.086999022482893
1;0.8528428020241132;8.308895405669599
2;0.0473325117658704;7.086999022482893
3;0.6581477803915986;7.331378299120235
4;0.56974152471027;8.308895405669599
5;0.2122848589790642;8.308895405669599
6;0.31269874296368144;7.086999022482893
7;0.32696636096677206;8.308895405669599
8;0.2676528059182365;7.086999022482893
9;0.21008762432126754;7.331378299120235
10;0.33324938555612355;7.086999022482893
