;H;M
0;16-40-42;1
0;16-40-46;2
0;16-40-50;3
0;16-40-55;4
0;16-40-59;5
0;16-41-03;6
0;16-41-07;7
0;16-41-15;8
0;17-49-39;1
0;17-49-43;2
0;17-49-47;3
0;17-49-51;4
0;17-49-55;5
0;17-50-00;6
0;17-50-04;7
0;17-50-12;8
