;H;M
0;20-02-32;1
0;20-02-39;2
0;20-02-44;3
0;20-02-49;4
0;20-02-54;5
0;20-02-59;6
0;20-03-04;7
0;20-03-12;8
0;20-08-46;1
0;20-08-50;2
0;20-08-54;3
0;20-08-58;4
0;20-09-02;5
0;20-09-06;6
0;20-09-09;7
0;20-09-17;8
