;H;M
0;14-13-29;1
0;14-13-33;2
0;14-13-37;3
0;14-13-41;4
0;14-13-45;5
0;14-13-49;6
0;14-13-53;7
0;14-14-01;8
0;15-48-52;1
0;15-48-56;2
0;15-49-00;3
0;15-49-04;4
0;15-49-08;5
0;15-49-12;6
0;15-49-16;7
0;15-49-24;8
