;H;M
0;23-04-23;1
0;23-04-29;2
0;23-04-34;3
0;23-04-40;4
0;23-04-46;5
0;23-04-52;6
0;23-04-57;7
0;23-05-07;8
0;23-52-50;1
0;23-52-56;2
0;23-53-03;3
0;23-53-09;4
0;23-53-15;5
0;23-53-21;6
