;Max;Fre
0;0.1356993238325397;8.308895405669599
1;0.3008112359623578;7.820136852394917
2;0.11420663687066335;7.086999022482893
3;0.5116815533692199;8.308895405669599
4;0.5486937898223847;8.308895405669599
5;0.43649546932097644;7.086999022482893
;Max;Fre
0;0.1356993238325397;8.308895405669599
1;0.3008112359623578;7.820136852394917
2;0.11420663687066335;7.086999022482893
3;0.5116815533692199;8.308895405669599
4;0.5486937898223847;8.308895405669599
5;0.43649546932097644;7.086999022482893
;Max;Fre
0;0.1356993238325397;8.308895405669599
1;0.3008112359623578;7.820136852394917
2;0.11420663687066335;7.086999022482893
3;0.5116815533692199;8.308895405669599
4;0.5486937898223847;8.308895405669599
5;0.43649546932097644;7.086999022482893
6;0.5672023208851084;8.308895405669599
7;0.4702019767384413;8.308895405669599
8;0.06553808819770066;7.086999022482893
9;0.13156985464027834;8.308895405669599
10;0.04953903646598139;8.308895405669599
11;0.15315096162630218;8.308895405669599
12;0.4971041068988522;8.064516129032258
13;0.19495681504720086;8.308895405669599
