;H;M
0;21-22-55;1
0;21-23-02;2
0;21-23-08;3
0;21-23-14;4
0;21-23-20;5
0;21-23-26;6
0;21-23-32;7
0;21-23-43;8
0;22-14-52;1
0;22-14-58;2
0;22-15-03;3
0;22-15-09;4
0;22-15-15;5
0;22-15-21;6
0;22-15-26;7
0;22-15-36;8
0;23-07-45;1
0;23-07-50;2
0;23-07-54;3
0;23-07-59;4
0;23-08-04;5
0;23-08-09;6
0;23-08-14;7
0;23-08-23;8
0;23-47-59;1
0;23-48-05;2
0;23-48-12;3
0;23-48-18;4
0;23-48-24;5
0;23-48-30;6
0;23-48-37;7
0;23-48-47;8
